link,tags,diff,submission
https://codeforces.com/problemset/problem/1997/A,"brute force, implementation, strings",800.0, x28054
https://codeforces.com/problemset/problem/1996/G,"brute force, data structures, graphs, greedy, hashing",2200.0, x1602
https://codeforces.com/problemset/problem/1996/F,"binary search, greedy, math",1900.0, x4544
https://codeforces.com/problemset/problem/1996/E,"combinatorics, data structures, implementation, math",1600.0, x9300
https://codeforces.com/problemset/problem/1996/D,"binary search, brute force, combinatorics, math, number theory",1500.0, x15439
https://codeforces.com/problemset/problem/1996/C,"dp, greedy, sortings, strings",1200.0, x22220
https://codeforces.com/problemset/problem/1996/B,"greedy, implementation",800.0, x31884
https://codeforces.com/problemset/problem/1996/A,"binary search, math, ternary search",800.0, x41296
https://codeforces.com/problemset/problem/1995/E2,"data structures, dp, matrices, two pointers",2900.0, x291
https://codeforces.com/problemset/problem/1995/E1,"2-sat, data structures, dp, matrices, two pointers",2700.0, x370
https://codeforces.com/problemset/problem/1995/D,"bitmasks, brute force, dp, strings",2300.0, x2282
https://codeforces.com/problemset/problem/1995/C,"brute force, constructive algorithms, greedy, implementation, math, number theory",1800.0, x8346
https://codeforces.com/problemset/problem/1995/B2,"binary search, data structures, greedy, math, sortings, two pointers",1700.0, x8545
https://codeforces.com/problemset/problem/1995/B1,"binary search, brute force, greedy, sortings, two pointers",1100.0, x17515
https://codeforces.com/problemset/problem/1995/A,"brute force, greedy, implementation, math",800.0, x23878
https://codeforces.com/problemset/problem/1994/H,"combinatorics, constructive algorithms, games, greedy, hashing, interactive, math, number theory, strings",3500.0, x694
https://codeforces.com/problemset/problem/1994/G,"bitmasks, brute force, dp, graphs, math",2600.0, x1197
https://codeforces.com/problemset/problem/1994/F,"constructive algorithms, dfs and similar, graphs, trees",2500.0, x1150
https://codeforces.com/problemset/problem/1994/E,"bitmasks, greedy, math, trees",2000.0, x4366
https://codeforces.com/problemset/problem/1994/D,"constructive algorithms, dsu, graphs, greedy, math, number theory, trees",1900.0, x5593
https://codeforces.com/problemset/problem/1994/C,"binary search, dp, two pointers",1600.0, x10432
https://codeforces.com/problemset/problem/1994/B,"bitmasks, constructive algorithms, greedy, math",1100.0, x16237
https://codeforces.com/problemset/problem/1994/A,"constructive algorithms, greedy, implementation",800.0, x19921
https://codeforces.com/problemset/problem/1993/F2,"chinese remainder theorem, math, number theory",2800.0, x394
https://codeforces.com/problemset/problem/1993/F1,"brute force, chinese remainder theorem, constructive algorithms, math, number theory",2400.0, x963
https://codeforces.com/problemset/problem/1993/E,"bitmasks, constructive algorithms, dp, implementation",2700.0, x504
https://codeforces.com/problemset/problem/1993/D,"binary search, dp, greedy",2200.0, x3630
https://codeforces.com/problemset/problem/1993/C,"implementation, math",1400.0, x13293
https://codeforces.com/problemset/problem/1993/B,"constructive algorithms, greedy",1100.0, x22254
https://codeforces.com/problemset/problem/1993/A,"greedy, implementation",800.0, x28810
https://codeforces.com/problemset/problem/1992/G,"combinatorics, dp, math",2000.0, x3013
https://codeforces.com/problemset/problem/1992/F,"brute force, dp, greedy, number theory, two pointers",1900.0, x5624
https://codeforces.com/problemset/problem/1992/E,"brute force, constructive algorithms, implementation, math, strings",1700.0, x8929
https://codeforces.com/problemset/problem/1992/D,"dp, greedy, implementation",1200.0, x20007
https://codeforces.com/problemset/problem/1992/C,"constructive algorithms, math",900.0, x28499
https://codeforces.com/problemset/problem/1992/B,"greedy, math, sortings",800.0, x33553
https://codeforces.com/problemset/problem/1992/A,"brute force, constructive algorithms, greedy, math, sortings",800.0, x40268
https://codeforces.com/problemset/problem/1991/I,"constructive algorithms, games, graph matchings, greedy, interactive",3500.0, x67
https://codeforces.com/problemset/problem/1991/H,"bitmasks, dp, fft, games, math, number theory",3300.0, x423
https://codeforces.com/problemset/problem/1991/G,"constructive algorithms, greedy, implementation",2700.0, x538
https://codeforces.com/problemset/problem/1991/F,"brute force, greedy, implementation, math, sortings",2200.0, x2208
https://codeforces.com/problemset/problem/1991/E,"constructive algorithms, dfs and similar, games, graphs, greedy, interactive",1900.0, x4068
https://codeforces.com/problemset/problem/1991/D,"bitmasks, constructive algorithms, graphs, greedy, math, number theory",1900.0, x6445
https://codeforces.com/problemset/problem/1991/C,"constructive algorithms, greedy, math",1300.0, x14094
https://codeforces.com/problemset/problem/1991/B,"bitmasks, constructive algorithms, greedy",1100.0, x15943
https://codeforces.com/problemset/problem/1991/A,"greedy, implementation",800.0, x21339
https://codeforces.com/problemset/problem/1990/F,"brute force, data structures, divide and conquer, dp, greedy, two pointers",2800.0, x266
https://codeforces.com/problemset/problem/1990/E2,"binary search, data structures, dfs and similar, divide and conquer, interactive, trees",2600.0, x840
https://codeforces.com/problemset/problem/1990/E1,"binary search, data structures, dfs and similar, interactive, trees",2500.0, x903
https://codeforces.com/problemset/problem/1990/D,"bitmasks, brute force, dp, greedy, implementation",1800.0, x6139
https://codeforces.com/problemset/problem/1990/C,"brute force, greedy, math",1500.0, x11290
https://codeforces.com/problemset/problem/1990/B,"constructive algorithms, greedy",1200.0, x16140
https://codeforces.com/problemset/problem/1990/A,"brute force, games, greedy, sortings",900.0, x22039
https://codeforces.com/problemset/problem/1989/F,"dfs and similar, divide and conquer, graphs",3000.0, x443
https://codeforces.com/problemset/problem/1989/E,"combinatorics, dp, math",2300.0, x1925
https://codeforces.com/problemset/problem/1989/D,"brute force, data structures, dp, greedy, math, sortings, two pointers",1900.0, x5825
https://codeforces.com/problemset/problem/1989/C,"greedy, math",1400.0, x18119
https://codeforces.com/problemset/problem/1989/B,"brute force, greedy, strings",1200.0, x19786
https://codeforces.com/problemset/problem/1989/A,implementation,800.0, x25980
https://codeforces.com/problemset/problem/1988/F,"combinatorics, dp, fft, math",3000.0, x186
https://codeforces.com/problemset/problem/1988/E,"binary search, brute force, data structures, divide and conquer, implementation",2300.0, x1375
https://codeforces.com/problemset/problem/1988/D,"brute force, dfs and similar, dp, trees",2000.0, x4803
https://codeforces.com/problemset/problem/1988/C,"bitmasks, constructive algorithms, greedy",1300.0, x16202
https://codeforces.com/problemset/problem/1988/B,"greedy, implementation",900.0, x22163
https://codeforces.com/problemset/problem/1988/A,"brute force, greedy, implementation, math",900.0, x22657
https://codeforces.com/problemset/problem/1987/H,interactive,3500.0, x98
https://codeforces.com/problemset/problem/1987/G2,"divide and conquer, dp, trees",3500.0, x165
https://codeforces.com/problemset/problem/1987/G1,"divide and conquer, dp, trees",2900.0, x264
https://codeforces.com/problemset/problem/1987/F2,dp,2600.0, x1000
https://codeforces.com/problemset/problem/1987/F1,dp,2500.0, x1104
https://codeforces.com/problemset/problem/1987/E,"brute force, data structures, dfs and similar, dsu, greedy, trees",2000.0, x3313
https://codeforces.com/problemset/problem/1987/D,"dp, games",1800.0, x6993
https://codeforces.com/problemset/problem/1987/C,"dp, greedy",1200.0, x17015
https://codeforces.com/problemset/problem/1987/B,greedy,1000.0, x19905
https://codeforces.com/problemset/problem/1987/A,"greedy, math",800.0, x24805
https://codeforces.com/problemset/problem/1986/G2,"brute force, data structures, hashing, math, number theory",2500.0, x1046
https://codeforces.com/problemset/problem/1986/G1,"binary search, brute force, combinatorics, data structures, math, number theory",2200.0, x1448
https://codeforces.com/problemset/problem/1986/F,"dfs and similar, graphs, trees",1900.0, x4465
https://codeforces.com/problemset/problem/1986/E,"greedy, math, number theory, sortings",1700.0, x8552
https://codeforces.com/problemset/problem/1986/D,"brute force, dp, greedy, implementation, math, two pointers",1400.0, x14959
https://codeforces.com/problemset/problem/1986/C,"data structures, greedy, sortings",1100.0, x22500
https://codeforces.com/problemset/problem/1986/B,"brute force, data structures, greedy, sortings",1000.0, x26174
https://codeforces.com/problemset/problem/1986/A,"brute force, geometry, math, sortings",800.0, x39560
https://codeforces.com/problemset/problem/1985/H2,"data structures, dfs and similar, dp, dsu, implementation",2200.0, x1489
https://codeforces.com/problemset/problem/1985/H1,"brute force, data structures, dfs and similar, dsu, graphs, implementation",1700.0, x5479
https://codeforces.com/problemset/problem/1985/G,"combinatorics, math, number theory",1600.0, x9132
https://codeforces.com/problemset/problem/1985/F,"binary search, data structures",1500.0, x14966
